BookID,BookName,PageName,IDAnnot,LemmaTranscription,DefinitionTranscription
b_2802960295,2.XER093,Xer_001_383r,1,ἀγήρατο,ἀνεκτήσατο
b_2802960295,2.XER093,Xer_001_383r,10,ἀγαλμα,εἰκόνισμα κ(αὶ) στηλη κ(αὶ) ξόανον
b_2802960295,2.XER093,Xer_001_383r,11,ἀγαμαι,ὑποδέχομαι
b_2802960295,2.XER093,Xer_001_383r,12,ἀγάμενοσ,θαυμαζόμενος
b_2802960295,2.XER093,Xer_001_383r,13,ἄγαν,πάνυ
b_2802960295,2.XER093,Xer_001_383r,14,ἀγελάριος,διὰ τὸ ἄγεσθαι παρά τινος τὰ ζῶα
b_2802960295,2.XER093,Xer_001_383r,15,ἀγέλη,διὰ τὸ συναγελάζεσθαι τὰ ζῶα · ἠγ(ουν) τὰ κτήνη
b_2802960295,2.XER093,Xer_001_383r,16,ἄγαλη,ποιμέναλη
b_2802960295,2.XER093,Xer_001_383r,17,ἀγανοφροσύνη,τὰπεινοφροσύνη
b_2802960295,2.XER093,Xer_001_383r,18,ἀγαβρίαμα,ἄπαρμα
b_2802960295,2.XER093,Xer_001_383r,19,ἀγεωργήτως βλαστήσασα χ(ριστο)ῦ,ἀντὶ τοῦ ἀσπόρως βλαστήσασα
b_2802960295,2.XER093,Xer_001_383r,2,ἀπτοὺς,προσητοὺς
b_2802960295,2.XER093,Xer_001_383r,20,ἀγανεύξον,φόνημα
b_2802960295,2.XER093,Xer_001_383r,3,ἀβάβηλον,καθαρὸν
b_2802960295,2.XER093,Xer_001_383r,4,ἀβληχρῆ,ἀσθενῆ
b_2802960295,2.XER093,Xer_001_383r,5,ἀβραμιαῖοι,"! οἱ γέροντες διὰ τὸ πόλιον ·
ἢ διὰ τὸ φρόνημα · ἢ ὅτι ἐκσπέρματος ὄντες τοῦ ἀβραὰμ"
b_2802960295,2.XER093,Xer_001_383r,6,ἀβραι,παιδίσκαι · ἢ νέαι δουλίσαι
b_2802960295,2.XER093,Xer_001_383r,7,ἀβρὸς,πλούσιος κ(αὶ) αὐθηρός κ(αὶ) τρυφερὸσ
b_2802960295,2.XER093,Xer_001_383r,8,ἀβροδίαιτον,"δαψιλὲς κ(αὶ) πλούσιον κ(αὶ) εὐθυνούμενον κ(αὶ) τρυφητικ(ὸν)
κ(αὶ) λαμπρὸν"
b_2802960295,2.XER093,Xer_001_383r,9,ἀγαλλιῶμεν,εὐφραινόμεθ(α)
b_2802960295,2.XER093,Xer_002_384v,1,ἀγήραστος,ἄτιμος
b_2802960295,2.XER093,Xer_002_384v,10,ἀγλαΐζει,λαμπρύνει
b_2802960295,2.XER093,Xer_002_384v,11,ἀγνώμον,ἄπιστος
b_2802960295,2.XER093,Xer_002_384v,12,ἀγνωμονέστερος,ἀσυνετότερος
b_2802960295,2.XER093,Xer_002_384v,13,ἀγριὸς,"διὰ τὸ · ἀγρί(ον) ἐν ἀγρώ
οἰκεῖν"
b_2802960295,2.XER093,Xer_002_384v,14,ἀγροικίας,ἡ ἐν ἀγροῖς διὰτα κ(αὶ) οἴκηα
b_2802960295,2.XER093,Xer_002_384v,15,ἀγιστίαις,δοξολογίαις κ(αὶ) ὑμνωδίαις
b_2802960295,2.XER093,Xer_002_384v,16,ἀγνοὶ,καθαρὸν · ἄγι(ον)
b_2802960295,2.XER093,Xer_002_384v,17,ἀγνοὶ,καθαροὶ
b_2802960295,2.XER093,Xer_002_384v,18,ἀγνῶς,"διὰ τοῦ 
ῶ μεγάλου · κ(αὶ) διὰ τ(ὴν) εἰς τὸ ἂλφα ψιλὴν · λέγ(εται) μεν
κ(αὶ) ἄγνωστος"
b_2802960295,2.XER093,Xer_002_384v,19,ἀγροραῖος,ὁ ἐν ἀγορᾶ ἀναστρεφόμ(ενός)
b_2802960295,2.XER093,Xer_002_384v,2,ἀγϊστεύει,ἁγϊάζει
b_2802960295,2.XER093,Xer_002_384v,20,ἄγουσαν,φέρουσαν
b_2802960295,2.XER093,Xer_002_384v,21,ἀγύρα,ἡ ἐκκλ
b_2802960295,2.XER093,Xer_002_384v,22,ἄγος,μιασμένος
b_2802960295,2.XER093,Xer_002_384v,23,ἄγας,μίασμα
b_2802960295,2.XER093,Xer_002_384v,24,ἀγριον,ἄσχημον
b_2802960295,2.XER093,Xer_002_384v,25,ἄγη,μιάσμ(ατα)
b_2802960295,2.XER093,Xer_002_384v,26,ἀγρότας,ἀγρείων
b_2802960295,2.XER093,Xer_002_384v,27,ἀγύρις,πανήγυρις
b_2802960295,2.XER093,Xer_002_384v,28,ἀγυὰς,ἡ ὁδὸς
b_2802960295,2.XER093,Xer_002_384v,29,ἀγλιν,συνατὶ
