BookID,BookName,PageName,IDAnnot,LemmaTranscription,DefinitionTranscription
b_7032836325,1.Zavorda,zavorda_8090_57r,1,Ἀάσαι,βλάπτειν
b_7032836325,1.Zavorda,zavorda_8090_57r,10,ἄβραι,παιδίσκαι
b_7032836325,1.Zavorda,zavorda_8090_57r,100,ἄγυρ(ις),ἐκκλησί(α)
b_7032836325,1.Zavorda,zavorda_8090_57r,101,ἀγηναί(ων),συνάπτ(ων)
b_7032836325,1.Zavorda,zavorda_8090_57r,102,ἀγάσυρτ(ος),ὁ ἀκάθαρτ(ος)
b_7032836325,1.Zavorda,zavorda_8090_57r,103,ἀγχιστ(εί)<α>,ἡ συγγένει(α)
b_7032836325,1.Zavorda,zavorda_8090_57r,104,ἀγάνα,ἡ ἅμαξα
b_7032836325,1.Zavorda,zavorda_8090_57r,105,ἀγύρτ(ης),προσάτ(ης) · ἰδιώτ(ης)
b_7032836325,1.Zavorda,zavorda_8090_57r,106,ἄγρ(ας),θήρ(ας)
b_7032836325,1.Zavorda,zavorda_8090_57r,107,ἄγροικ(ος),ὁ ἀλόγιστ(ος) τῆ διανοί(α)
b_7032836325,1.Zavorda,zavorda_8090_57r,108,ἀγραρέβ(οις),ἔρχῃ τοῦ θηλάσ<αι>
b_7032836325,1.Zavorda,zavorda_8090_57r,109,ἀγγαλ(εῖν),ἀναγιν(ώσ)κ(ειν)
b_7032836325,1.Zavorda,zavorda_8090_57r,11,ἀβρ(ὸς),ὁ μαλακοτρύφερ(ος)
b_7032836325,1.Zavorda,zavorda_8090_57r,110,ἀγγεῖον,τὸ χωρ(οῦν) ξέστ(ας) ἕξι
b_7032836325,1.Zavorda,zavorda_8090_57r,111,ἀγάζεται,θαυμ<ά>ζεται
b_7032836325,1.Zavorda,zavorda_8090_57r,112,ἀγαν(ὸς),ὁ λαμπρός
b_7032836325,1.Zavorda,zavorda_8090_57r,113,ἀγερώσοι,ἠγρύπνησ(εν)
b_7032836325,1.Zavorda,zavorda_8090_57r,114,ἄγρει,ἄγε δὴ
b_7032836325,1.Zavorda,zavorda_8090_57r,115,ἀγκυλομήτ(ις),σκολιόβουλ(ος)
b_7032836325,1.Zavorda,zavorda_8090_57r,116,ἀγορ(ὴν),ἐκκλησί(αν)
b_7032836325,1.Zavorda,zavorda_8090_57r,117,ἀγρό(μενος),συναθροιζό(μενος)
b_7032836325,1.Zavorda,zavorda_8090_57r,118,ἀγρίοφων(ος),βάρβαρ(ος)
b_7032836325,1.Zavorda,zavorda_8090_57r,119,ἀγορίτ(ης),πραγμ<α>τευτ(ής)
b_7032836325,1.Zavorda,zavorda_8090_57r,12,ἀάτ(ας),βλ(ά)β(ας)
b_7032836325,1.Zavorda,zavorda_8090_57r,120,ἀγρυτοῖ,ὕβρίζει
b_7032836325,1.Zavorda,zavorda_8090_57r,121,ἀγλαομητί<α>,λαμπροβουλί(α)
b_7032836325,1.Zavorda,zavorda_8090_57r,122,ἀγὸς,ἀρχηγ(ός)
b_7032836325,1.Zavorda,zavorda_8090_57r,123,ἀγκάπ(ης),βόθρ(ος)
b_7032836325,1.Zavorda,zavorda_8090_57r,124,ἀγριστίναι,νύμφαι
b_7032836325,1.Zavorda,zavorda_8090_57r,125,ἀγορῆται,βουλευταί · (καὶ) φρόνιμοι
b_7032836325,1.Zavorda,zavorda_8090_57r,126,ἀγν(ὼς),ὁ ἄγνωστ(ος)
b_7032836325,1.Zavorda,zavorda_8090_57r,127,ἀγνὸς,ὁ καθαρ(ός)
b_7032836325,1.Zavorda,zavorda_8090_57r,128,ἀγορὰ,ὁ τόπος
b_7032836325,1.Zavorda,zavorda_8090_57r,13,ἀβελτηρία,μανία· μ(ω)ρί<α>· ἀνοία
b_7032836325,1.Zavorda,zavorda_8090_57r,14,ἄσχετ(ον),ἀκράτητ(ον)
b_7032836325,1.Zavorda,zavorda_8090_57r,15,ἀκατάσχετ(ον),ὁμοί(ως)
b_7032836325,1.Zavorda,zavorda_8090_57r,16,ἀβούλητ(ος),μὴ θέλ(ων)
b_7032836325,1.Zavorda,zavorda_8090_57r,17,ἀβουλ<ή>τ(ους),μὴ θέλ(ον)τ(ας)
b_7032836325,1.Zavorda,zavorda_8090_57r,18,ἀβακίμων,ἄλαλ(ος)
b_7032836325,1.Zavorda,zavorda_8090_57r,19,ἀασίφρ(ων),μωρ(ός)
b_7032836325,1.Zavorda,zavorda_8090_57r,2,ἀασάμ(ην),ἐβλ<ά>β(ην)
b_7032836325,1.Zavorda,zavorda_8090_57r,20,ἀβροσύνη,τρυφή
b_7032836325,1.Zavorda,zavorda_8090_57r,21,ἀβαμήσ<αι>,ἀγνοή<σαι>
b_7032836325,1.Zavorda,zavorda_8090_57r,22,ἄβαλε,τὸ ἔβαλ(εν)
b_7032836325,1.Zavorda,zavorda_8090_57r,23,ἀβραμαίν(ων),θρυπτό(μενος)
b_7032836325,1.Zavorda,zavorda_8090_57r,24,ἄβαπτ(ος),ἀστομώτατ(ος)
b_7032836325,1.Zavorda,zavorda_8090_57r,25,ἀβρ(ὸς),ὁ ἁπαλ(ός)
b_7032836325,1.Zavorda,zavorda_8090_57r,26,ἀβροτάξαι,διαμφοδίσαι
b_7032836325,1.Zavorda,zavorda_8090_57r,27,ἀβύρβηλ(ον),ἀνέντροπ(ον) · βυρβ(ὶς) (γὰρ) ἡ ἐντρο<πή>
b_7032836325,1.Zavorda,zavorda_8090_57r,28,ἀβροχίτων,ὁ φορ(ῶν) μαλακ<ὰ> ἱμάτια
b_7032836325,1.Zavorda,zavorda_8090_57r,29,αβλεκεῖ,ἀπέτυχ(εν)
b_7032836325,1.Zavorda,zavorda_8090_57r,3,ἄασαι,καθυπν(ῶ)σ<αι>
b_7032836325,1.Zavorda,zavorda_8090_57r,30,ἀβληχρ(ὸς),αδύν<α>τ(ος)
b_7032836325,1.Zavorda,zavorda_8090_57r,31,ἄβης,ὁ ἀσύνετ(ος)
b_7032836325,1.Zavorda,zavorda_8090_57r,32,ἀβίωτ(ος),"μὴ χειρι
ζό(μενος) ἅρμα(τα) · [[ἀ]]βιωτὴ γὰρ ἡ νευρὰ τ(οῦ) τόξ(ου)"
b_7032836325,1.Zavorda,zavorda_8090_57r,33,ἀβέβηλ(ος),ὁ καθαρ(ός)
b_7032836325,1.Zavorda,zavorda_8090_57r,34,ἀβραὰμ,π(ατὴ)ρ ἐθν(ῶν)
b_7032836325,1.Zavorda,zavorda_8090_57r,35,ἀβρ(α)μιᾶι(ος),ὁ γιγαντιαῖ(ος)
b_7032836325,1.Zavorda,zavorda_8090_57r,36,ἀβούλητο(ν),ἀπροαίρετ(ον)
b_7032836325,1.Zavorda,zavorda_8090_57r,37,ἀβροκόμι(ος),ξανθ(ός)
b_7032836325,1.Zavorda,zavorda_8090_57r,38,ἀβρότ(ις),ἁπαλότ(ης)
b_7032836325,1.Zavorda,zavorda_8090_57r,39,ἄβρα,τὸ κ<ῦ>μ<α>
b_7032836325,1.Zavorda,zavorda_8090_57r,4,ἄσατο,ἠγνόη<σε>
b_7032836325,1.Zavorda,zavorda_8090_57r,40,ἄβδελον,οἰκτρ(όν)
b_7032836325,1.Zavorda,zavorda_8090_57r,41,ἀβήλιον,"ὁ κιρν(ῶν)
ἀπλήστ(ως)"
b_7032836325,1.Zavorda,zavorda_8090_57r,42,ἀβλοθρίδι(α),εξημβλο(μένα) ἔμβρυ<α>
b_7032836325,1.Zavorda,zavorda_8090_57r,43,ἀβρίζεσθαι,καλλωπίζεσθαι
