BookID,BookName,PageName,IDAnnot,DefinitionTranscription
b_2802960295,2.XER093,Xer_011_403r,10,ἀνατροπῆς · τῆς καταφάσε(ος) · οἷον οὐ κατέρχετ(αι) ὁ ποταμὸς οὐ κατέρχετ(αι) ὁδ(ὸν) ἀπρόσφορ(ον)
b_2802960295,2.XER093,Xer_066_512v,12,λέγομ(εν) · τὸ κατώτατον αὐτῶν
b_2802960295,2.XER093,Xer_012_405r,18,ἀχρίστους κ(αὶ) ἀσυμφόρους
b_2802960295,2.XER093,Xer_037_454v,28,ἀλαζῶν
b_2802960295,2.XER093,Xer_083_546v,7,
b_2802960295,2.XER093,Xer_039_459r,17,χρυσοκλαβάρην
b_2802960295,2.XER093,Xer_080_541r,2,λέγων
b_2802960295,2.XER093,Xer_046_472v,16,δουλεία
b_2802960295,2.XER093,Xer_054_489r,21,ὄζωσεν
b_2802960295,2.XER093,Xer_063_507r,19,πῦρ ἀπ’ οὐ(ρα)νοῦ
b_2802960295,2.XER093,Xer_007_394v,12,"ἀκιβδηλον κ(αὶ)
θεραπευτικὸν"
b_2802960295,2.XER093,Xer_039_458v,15,ἀναβάτου
b_2802960295,2.XER093,Xer_050_481r,10,μετάθεσις
b_2802960295,2.XER093,Xer_056_493r,4,φονεὺ · ἀφανιστής
b_2802960295,2.XER093,Xer_067_514v,9,φθαρτὰ · κ(αὶ) ῥέοντα
b_2802960295,2.XER093,Xer_005_391r,15,ἁμαρτάνω
b_2802960295,2.XER093,Xer_068_517r,9,"φωτοφόρος · ἢγουν
ὁ τὸ φῶς φέρων κ(αὶ) κομίζων"
b_2802960295,2.XER093,Xer_008_396v,23,ἀφιέναι
b_2802960295,2.XER093,Xer_007_394v,15,ἀκαθάρτως
b_2802960295,2.XER093,Xer_002_385r,9,εἶδος σιδήρου
b_2802960295,2.XER093,Xer_022_425r,13,τρώγετ(αι)
b_2802960295,2.XER093,Xer_021_422v,23,οιήματα
b_2802960295,2.XER093,Xer_006_392v,20,ἁμαρτήματα
b_2802960295,2.XER093,Xer_013_406v,11,ἀπλήρωτος
b_2802960295,2.XER093,Xer_032_444v,13,γυνῆ
b_2802960295,2.XER093,Xer_063_507r,13,θάνατος
b_2802960295,2.XER093,Xer_073_527r,10,ἐξάπλωσιν
b_2802960295,2.XER093,Xer_041_462v,26,περίσφοιγξης · κ(αὶ) συνείλησις [[κ(αὶ)]] ἐν μνήματι κ(αὶ) συνδόνη
b_2802960295,2.XER093,Xer_070_521r,13,σημεῖον
b_2802960295,2.XER093,Xer_039_458v,1,φαντασία ὄναρ κ(αὶ) ὁμοίωμα
b_2802960295,2.XER093,Xer_072_524v,4,κονιορτός · μεταξύλων κ(αὶ) ἀχύρων μεμηγμένος
b_2802960295,2.XER093,Xer_014_408v,16,ἡ τῆς χειρὸς κράτησις
b_2802960295,2.XER093,Xer_010_401r,4,τὰ μὴ ἔχοντα τέλος
b_2802960295,2.XER093,Xer_006_392v,14,ἀντικαλλάξωμεν
b_2802960295,2.XER093,Xer_022_425r,31,ἐποίησαν
b_2802960295,2.XER093,Xer_076_532v,24,κτένιον
b_2802960295,2.XER093,Xer_006_392v,17,τυπώματα
b_2802960295,2.XER093,Xer_048_476v,17,βλαβέντ(ες)
b_2802960295,2.XER093,Xer_043_467r,22,τὸ μερός
b_2802960295,2.XER093,Xer_021_423r,4,διὰ τὸ δίκας κ(αὶ) ὁδοὺς τηρῶν
b_2802960295,2.XER093,Xer_059_499r,28,εὐσέβεια
b_2802960295,2.XER093,Xer_063_506v,18,"τὸ πώλος κ(αὶ) ὁ ἵππος · διὰ τοῦ ῶ
μ(εγάλου)"
b_2802960295,2.XER093,Xer_068_517r,21,σκόληκας
b_2802960295,2.XER093,Xer_055_490v,21,πρόβατον
b_2802960295,2.XER093,Xer_080_540v,11,φαντάματα
b_2802960295,2.XER093,Xer_020_420v,2,διέκοψαι
b_2802960295,2.XER093,Xer_057_495r,25,ὀψιτὰ
b_2802960295,2.XER093,Xer_021_422v,24,πράττειν
b_2802960295,2.XER093,Xer_076_533r,6,μακαριστὸς
b_2802960295,2.XER093,Xer_047_474v,27,ὁλοθρί(ως) · χαλεπῶς · κακῶς κ(αὶ) λυπηρῶς
b_2802960295,2.XER093,Xer_041_463r,17,καταφροντὴν κ(αὶ) κατὰ φόβον
b_2802960295,2.XER093,Xer_054_488v,1,πυροειδὴς
b_2802960295,2.XER093,Xer_018_417r,28,νῦν
b_2802960295,2.XER093,Xer_022_424v,24,ἔληθεν
b_2802960295,2.XER093,Xer_024_429r,5,σπογγίζει
b_2802960295,2.XER093,Xer_075_531r,17,τοιγαροῦν ἢ διὰ τοῦτου
b_2802960295,2.XER093,Xer_028_437r,5,ἐπὶ πτᾶν
b_2802960295,2.XER093,Xer_080_541r,15,φιλοχρημάτ(ων)
b_2802960295,2.XER093,Xer_043_466v,27,κρύπτεται
b_2802960295,2.XER093,Xer_026_433r,13,συντιμότερον
b_2802960295,2.XER093,Xer_013_406v,2,βεβαίως
b_2802960295,2.XER093,Xer_041_462v,27,"ἐπιφορὰν ἀνέμου σφοδρ(ὰν)·λέγεται (δὲ) κ(αὶ) ἡ τῶν ὑδάτῶν ζάλη·ὁ δ’ αὐτὸς ἄνεμος
ἔρχεται ἀπο τὴν γῆν"
b_2802960295,2.XER093,Xer_022_424v,14,ἀδημονῶ κ(αὶ) βαρύνομαι
b_2802960295,2.XER093,Xer_066_513r,23,"ἀνάπαυσις · τρυφῆ · ἀργεία · τέρψις ·
εὐκολία"
b_2802960295,2.XER093,Xer_024_429r,26,ὁμοιάζεται
b_2802960295,2.XER093,Xer_075_531r,13,τοιοῦτον
b_2802960295,2.XER093,Xer_003_387r,7,πληγαὶ
b_2802960295,2.XER093,Xer_060_501r,9,χωρὶς κ(αὶ) ἐκτὸς
b_2802960295,2.XER093,Xer_024_429r,15,ἐξερχόμ(ενα)
b_2802960295,2.XER093,Xer_054_488v,15,γράφη
b_2802960295,2.XER093,Xer_042_464v,13,εὐοδοῦντι
b_2802960295,2.XER093,Xer_019_418v,24,οἰκινόμ(οι)
b_2802960295,2.XER093,Xer_042_465r,3,κατήστραψεν
b_2802960295,2.XER093,Xer_011_403r,6,ἀποδίδειν
b_2802960295,2.XER093,Xer_077_535r,19,ὑπέσυρεν
b_2802960295,2.XER093,Xer_043_466v,6,κερνὰ
b_2802960295,2.XER093,Xer_028_437r,21,δαιμονιάρις
b_2802960295,2.XER093,Xer_057_494v,6,οὐ(ρά)νϊος θαυμαστὸς
b_2802960295,2.XER093,Xer_040_460v,17,καταστροφή
b_2802960295,2.XER093,Xer_070_521r,1,στοιβασία
b_2802960295,2.XER093,Xer_055_491r,9,νόμιζε κ(αὶ) ὑπολάμβανε
b_2802960295,2.XER093,Xer_013_407r,19,αὐτόκλητος
b_2802960295,2.XER093,Xer_002_384v,4,αγγάλας
b_2802960295,2.XER093,Xer_080_541r,29,βάπτων
b_2802960295,2.XER093,Xer_075_530v,1,καταπονεῖτο
b_2802960295,2.XER093,Xer_054_489r,26,ὁ κρατῶν
b_2802960295,2.XER093,Xer_072_524v,21,εὐτελεῖς
b_2802960295,2.XER093,Xer_081_543r,26,ταπειν(ὸν)
b_2802960295,2.XER093,Xer_048_477r,1,γεννηθήσονται
b_2802960295,2.XER093,Xer_052_485r,10,συναγωγῆ
b_2802960295,2.XER093,Xer_070_521r,12,"ἀπα
τούσης κ(αὶ) κλεπτούσης"
b_2802960295,2.XER093,Xer_016_413r,20,"εὐφραίνεται κ(αὶ)
χαίρεται"
b_2802960295,2.XER093,Xer_013_407r,5,λαμπηδόνας
b_2802960295,2.XER093,Xer_036_453r,21,ποτήριον
b_2802960295,2.XER093,Xer_002_384v,15,δοξολογίαις κ(αὶ) ὑμνωδίαις
b_2802960295,2.XER093,Xer_052_484v,21,φιλονικία · μάχη · ἔχθρα
b_2802960295,2.XER093,Xer_019_418v,21,"ὡς 
ἀντάλμα · ἐξελθόντος τινὸς · εἰσαχθῆναι ἕτερον"
b_2802960295,2.XER093,Xer_074_528v,17,"σκώληξ ὁ οἰκῶν ἐν ξύλω ·
ἢ θὺρ ἐν γῆ ξυλοφάγος"
b_2802960295,2.XER093,Xer_079_539r,10,ὑπέμεινες
b_2802960295,2.XER093,Xer_075_530v,11,γεννᾶται
b_2802960295,2.XER093,Xer_074_528v,2,"γίνετ(αι) ·
γεννάτε · τελειοῖ"
b_2802960295,2.XER093,Xer_077_534v,23,οἱ τὴν ὕλην χαίροντες
b_2802960295,2.XER093,Xer_033_446v,30,ἄπρακτον
b_2802960295,2.XER093,Xer_056_493r,28,ἀκέραιος (καὶ) ὁλόκληρος
b_2802960295,2.XER093,Xer_062_504v,22,ἐρώτησις
b_2802960295,2.XER093,Xer_041_462v,9,κεφαλαργία
b_2802960295,2.XER093,Xer_067_514v,3,πράττει ἐπιτελεῖ · θύει
b_2802960295,2.XER093,Xer_053_486v,3,παρήκουσεν
b_2802960295,2.XER093,Xer_077_535r,20,στηρίζουσαν κ(αὶ) ἀκουμβίζουσαν
b_2802960295,2.XER093,Xer_039_458v,7,ἡ σκουρία τοῦ σιδήρου
b_2802960295,2.XER093,Xer_061_502v,3,ψαλμοὶ
b_2802960295,2.XER093,Xer_071_522v,7,διαμερίζομαι
b_2802960295,2.XER093,Xer_059_498v,18,στεναγμοῖς
b_2802960295,2.XER093,Xer_010_400v,16,ὁμοιάζει κ(αὶ) εἰκονίζει
b_2802960295,2.XER093,Xer_074_528v,16,ὠδαὶ ἀπατηλαὶ κ(αὶ) ἄσματα ἔκλυπα
b_2802960295,2.XER093,Xer_061_502v,25,σπήλαιον
b_2802960295,2.XER093,Xer_046_473r,17,μυρίαι μυριάδες · κ(αὶ) ἄλλως λεγεῶν λέγετ(αι) ἐξακισχίλιοι ἀριθμὸν
b_2802960295,2.XER093,Xer_018_416v,14,δαμσθεῖσαν
b_2802960295,2.XER093,Xer_078_537r,12,ὑπεισελθόντ(ων)
b_2802960295,2.XER093,Xer_058_497r,9,οὐ προς ἐποίησαν
b_2802960295,2.XER093,Xer_055_491r,20,ὁδὸς
b_2802960295,2.XER093,Xer_029_438v,24,πλαγίως
b_2802960295,2.XER093,Xer_023_427r,6,ἔλαβεν
b_2802960295,2.XER093,Xer_042_465r,17,θ(εὸ)ς τῶν ἐλήνων
b_2802960295,2.XER093,Xer_061_503r,6,"ἐπάρωμεν 
κ(αὶ) περικόψωμεν"
b_2802960295,2.XER093,Xer_055_491r,18,ὑπολαμβάνω · κ(αὶ) νομίζω
b_2802960295,2.XER093,Xer_030_441r,31,ἐρηρισμέν(ους)
b_2802960295,2.XER093,Xer_010_400v,21,ἀπέθαν(εν)
b_2802960295,2.XER093,Xer_043_466v,1,"κουρεύετ(αι) κ(αὶ) ξύρεται
τὰ μαλία"
b_2802960295,2.XER093,Xer_082_544v,2,προδηλώσας κ(αὶ) προαιμιξάμενος
b_2802960295,2.XER093,Xer_046_473r,8,ἀπαλώτησι
b_2802960295,2.XER093,Xer_028_436v,19,"ὁ τῶν ἵππων
ἄρχων"
b_2802960295,2.XER093,Xer_023_426v,19,ματαί(ως)
b_2802960295,2.XER093,Xer_058_496v,28,οὐκ εφθέγξατο
b_2802960295,2.XER093,Xer_020_420v,10,διακεύαν κ(αὶ) τρυφὰν
b_2802960295,2.XER093,Xer_083_547r,12,ὁράθη
b_2802960295,2.XER093,Xer_038_457r,9,πορεύου· ἤ ἔρχου
b_2802960295,2.XER093,Xer_029_439r,12,ἐρώτα
b_2802960295,2.XER093,Xer_060_500v,26,ἠκονοσμένος
b_2802960295,2.XER093,Xer_019_419r,6,διαφεύγων
b_2802960295,2.XER093,Xer_024_428v,21,εἰς ὄψιν
b_2802960295,2.XER093,Xer_083_547r,27,ὡς φαίνεται
b_2802960295,2.XER093,Xer_066_512v,22,λαμπὰς · φῶς
b_2802960295,2.XER093,Xer_025_430v,15,συνετοὶ φρόνημοι· σοφοὶ· κ(αὶ) ἀξιόλόγοι
b_2802960295,2.XER093,Xer_064_508v,17,μάρτυρ(ες)
b_2802960295,2.XER093,Xer_045_471r,22,σκυλόμιγα
b_2802960295,2.XER093,Xer_032_445r,19,ἐπιθυμοῦσι
b_2802960295,2.XER093,Xer_054_489r,13,ὁ ἰσχυρὰ ἔργα ποι(ῶν)
b_2802960295,2.XER093,Xer_071_523r,25,δείπνον · ἠ(γουν) βρῶμα
b_2802960295,2.XER093,Xer_036_453r,28,ἀκονῶντες
b_2802960295,2.XER093,Xer_061_502v,28,παρετέρω κ(αὶ) εἰς ἕτερον κ(αὶ) πλέον
b_2802960295,2.XER093,Xer_025_430v,23,"αἴνιγμα · ἢ
μέγεθος ἢ ἐννόησις"
b_2802960295,2.XER093,Xer_049_479r,13,διδασκαλευμ(ένος)
b_2802960295,2.XER093,Xer_075_531r,25,γονέ(ων) · τεκόντ(ων)
b_2802960295,2.XER093,Xer_069_519r,21,ὁ ἐν λόγ(οις) ἔχων τὸ ἀπατᾶν
b_2802960295,2.XER093,Xer_075_531r,16,ὅθεν δὲ
b_2802960295,2.XER093,Xer_049_479r,8,"ὅπλα ·
δόρατα · ἠ(γουν) κοντ(ά)ρ(ια) κυρ(ίως) ἀπο μελί(ας) · ὅ ἐστιν εἶδος
δένδρου"
b_2802960295,2.XER093,Xer_015_411r,1,ἀσεβῆς (καὶ) ἀκάθαρτος
b_2802960295,2.XER093,Xer_032_445r,32,ἐπιθυμοῦντες
b_2802960295,2.XER093,Xer_074_528v,15,φρειγμὸν
b_2802960295,2.XER093,Xer_067_515r,20,"παλούκην · ἢ κοντο ῥάβδήν ·
ὁῖς · ρεὗμα"
b_2802960295,2.XER093,Xer_067_514v,13,"διὰ τὸ τηρεῖν
τὸν λόγον ἀφθόνως"
b_2802960295,2.XER093,Xer_079_539r,13,ὁ ἐν ὕψει πετόμ(ενος)
b_2802960295,2.XER093,Xer_003_387r,19,"προκριτότερα ·
ποθηνότερα"
b_2802960295,2.XER093,Xer_030_441r,9,φθειρόμ(ενος)
b_2802960295,2.XER093,Xer_043_467r,16,εἶδος καμελαυχίου
b_2802960295,2.XER093,Xer_064_508v,4,πρόμαχος
b_2802960295,2.XER093,Xer_012_404v,1,πράξις ἀγαθῆ
b_2802960295,2.XER093,Xer_054_488v,11,"ἄγαλμα · εἴδωλον ·
ζώδιον"
b_2802960295,2.XER093,Xer_002_385r,22,πλουσιοτέρ(ας)
b_2802960295,2.XER093,Xer_059_499r,3,τὸ πάντοθεν εἱρμὸσμ(ενον)
