BookID,BookName,PageName,IDAnnot,DefinitionTranscription
b_5553899179,3.EBE1082,EBE1082_066_47r,16,θερμὴ ζεούση
b_5553899179,3.EBE1082,EBE1082_070_50v,31,ὁξύς
b_5553899179,3.EBE1082,EBE1082_061_42r,1,συνεφία δεινὸς ἄνεμος
b_5553899179,3.EBE1082,EBE1082_054_34v,11,δευσοποιός
b_5553899179,3.EBE1082,EBE1082_063_44r,21,ὁ φόβος
b_5553899179,3.EBE1082,EBE1082_060_40v,9,μετα χαρᾶς
b_5553899179,3.EBE1082,EBE1082_059_39v,31,οἱ κεφαλαὶ τ(ῶν) σκορόδων
b_5553899179,3.EBE1082,EBE1082_053_34r,23,φθονερός
b_5553899179,3.EBE1082,EBE1082_050_30v,25,ἐπαιρόμενος
b_5553899179,3.EBE1082,EBE1082_058_38v,24,ὄργαν(ον) τιμωριτικ(όν)
b_5553899179,3.EBE1082,EBE1082_067_48r,7,παραλλάττει
b_5553899179,3.EBE1082,EBE1082_066_47r,22,ἀναπλάσαι
b_5553899179,3.EBE1082,EBE1082_057_37v,10,ὁ ἰσχϋρὸ(ς) κ(αὶ) δυνατὸ(ς) τ(ὴν) χεῖρα
b_5553899179,3.EBE1082,EBE1082_069_49v,8,δαμάσαντες
b_5553899179,3.EBE1082,EBE1082_062_42v,20,θηλυνόμ(εν)ο(ς)
b_5553899179,3.EBE1082,EBE1082_053_34r,15,στήριγμα
b_5553899179,3.EBE1082,EBE1082_070_50v,13,φυγ(ῶν) ἢ πράξ(ας)$
b_5553899179,3.EBE1082,EBE1082_068_49r,20,ψηλαφῶν
b_5553899179,3.EBE1082,EBE1082_059_40r,2,παρα τὸ γείνω τὸ γεννῶ
b_5553899179,3.EBE1082,EBE1082_065_46r,1,ῥητορεῦσαι| ἐν δῆμω λαλῆσαι
b_5553899179,3.EBE1082,EBE1082_052_32v,23,μαλακός
b_5553899179,3.EBE1082,EBE1082_063_43v,17,ἀναβοῶ
b_5553899179,3.EBE1082,EBE1082_049_30r,15,λαγωοί
b_5553899179,3.EBE1082,EBE1082_058_39r,25,εὐγενεστάτους
b_5553899179,3.EBE1082,EBE1082_065_45v,6,ὁ τὸν δῆμον ὠφελ(ῶν)
b_5553899179,3.EBE1082,EBE1082_059_40r,15,χρόνος| καιρός
b_5553899179,3.EBE1082,EBE1082_061_41v,11,ἀπάτη<α>| φαρμακεία
b_5553899179,3.EBE1082,EBE1082_052_32v,14,σκοτία| μεσονύκτιο(ν)
b_5553899179,3.EBE1082,EBE1082_064_45r,13,ἀντὶ τοῦ ἔλθε
b_5553899179,3.EBE1082,EBE1082_050_31r,27,"! γηράσαντι| ὑπὲρ βε
[[ἀ]]βηκότι| τ(ὴν) ἤβην| ἥγ(ουν) τ(ὴν) νεότηταν"
b_5553899179,3.EBE1082,EBE1082_068_48v,26,κακοῦργος
b_5553899179,3.EBE1082,EBE1082_050_30v,10,αὐτῆ τῆ νυκτί
b_5553899179,3.EBE1082,EBE1082_058_38v,8,πόλις κοίλης συρί(ας)| ἢ ἀντιοχί(ας)
b_5553899179,3.EBE1082,EBE1082_056_36v,12,κῆπον σημαίνει
b_5553899179,3.EBE1082,EBE1082_058_39r,15,φωνῶ
b_5553899179,3.EBE1082,EBE1082_060_41r,6,τὸ ἡδὺ ἐν τῶ ὁρᾶν
b_5553899179,3.EBE1082,EBE1082_065_46r,9,λοιπὸν| ἢ οὕτως
b_5553899179,3.EBE1082,EBE1082_053_34r,12,ἐπινίκι(ον)| ἀμοιβή| ἔπαθλ(ον)
b_5553899179,3.EBE1082,EBE1082_061_42r,23,ἡ λαμπάς
b_5553899179,3.EBE1082,EBE1082_061_41v,20,στρογγύλον
b_5553899179,3.EBE1082,EBE1082_060_40v,10,φθαρτῶς
b_5553899179,3.EBE1082,EBE1082_054_34v,24,ἐπορεύθη
b_5553899179,3.EBE1082,EBE1082_062_43r,10,τὸ χωρῶ
b_5553899179,3.EBE1082,EBE1082_059_40r,23,σπάθη| ξίφος
b_5553899179,3.EBE1082,EBE1082_065_45v,17,ἀθλία| ἐλεεινή
b_5553899179,3.EBE1082,EBE1082_066_46v,8,ἀποδόσθαι
b_5553899179,3.EBE1082,EBE1082_065_46r,6,ἐξάπαντος| φανερ(ῶς)
b_5553899179,3.EBE1082,EBE1082_055_36r,2,ὁ εἰς θ(εό)ν ὑβρίζων
b_5553899179,3.EBE1082,EBE1082_067_48r,26,καλῶς διοικῶ
b_5553899179,3.EBE1082,EBE1082_057_38r,2,βάλλει τρυφᾶ
b_5553899179,3.EBE1082,EBE1082_065_45v,5,βλαπτικός
b_5553899179,3.EBE1082,EBE1082_056_37r,26,"ὅτ(αν) κοχλάζη| μετὰ κινήμ(α)το(ς)|
 ἐκτεναγμός δὲ| ὅτ(αν) ἀναρριπτῆται"
b_5553899179,3.EBE1082,EBE1082_066_47r,25,ἀρκούντως| δαψιλῶς
b_5553899179,3.EBE1082,EBE1082_051_32r,26,ἀναιδές
b_5553899179,3.EBE1082,EBE1082_055_36r,8,ἔθνος βαρβαρικόν
b_5553899179,3.EBE1082,EBE1082_065_45v,14,ἡ δημοσία
b_5553899179,3.EBE1082,EBE1082_056_37r,2,χλεύης
b_5553899179,3.EBE1082,EBE1082_064_45r,20,"τὰ σημὰ τῶν ὀρῶν| εἰ μ(ὲν) τὰς
 νάπας| οἱ δὲ φάραγγας"
b_5553899179,3.EBE1082,EBE1082_063_44r,1,"οὐσία λογικῆ| ἀθάνατος|
 κατα γνώμην πάσης ἀγαθοεργί(ας)
 ἐστερημ(έν)η"
b_5553899179,3.EBE1082,EBE1082_067_47v,20,συμφώνως
b_5553899179,3.EBE1082,EBE1082_052_33r,13,ἡδύς
b_5553899179,3.EBE1082,EBE1082_057_37v,21,γηγενής| ἄν(θρωπ)ος| θνητός
b_5553899179,3.EBE1082,EBE1082_053_34r,7,δυσβάστακτον
b_5553899179,3.EBE1082,EBE1082_053_33v,10,στῆθος
b_5553899179,3.EBE1082,EBE1082_059_39v,17,σιαγόνα
b_5553899179,3.EBE1082,EBE1082_057_37v,24,ὁ βεβρωμένος
b_5553899179,3.EBE1082,EBE1082_055_36r,9,γαυριᾶ
b_5553899179,3.EBE1082,EBE1082_051_32r,13,βάρος
b_5553899179,3.EBE1082,EBE1082_066_47r,13,ἱερᾶ
b_5553899179,3.EBE1082,EBE1082_059_39v,19,τὸ ἄροτρον
b_5553899179,3.EBE1082,EBE1082_064_44v,21,τὸ διαφθείρειν| ἐν χρήμασ(ιν)
b_5553899179,3.EBE1082,EBE1082_059_40r,12,ἐπιχαρής
b_5553899179,3.EBE1082,EBE1082_051_31v,8,ἱερόν
b_5553899179,3.EBE1082,EBE1082_055_36r,10,ἀσθενῆ| ἀδύναμα
b_5553899179,3.EBE1082,EBE1082_058_38v,12,γεωργός
b_5553899179,3.EBE1082,EBE1082_063_43v,14,λαγωός
b_5553899179,3.EBE1082,EBE1082_058_38v,13,γήϊνα| χθόνια
b_5553899179,3.EBE1082,EBE1082_063_43v,7,ξηρότατον
b_5553899179,3.EBE1082,EBE1082_068_48v,4,τὸ ψηλαφὼ
b_5553899179,3.EBE1082,EBE1082_066_46v,6,διατρέχων
