BookID,BookName,PageName,IDAnnot,DefinitionTranscription
b_7032836325,1.Zavorda,zavorda_8096_63r,29,ξηραινό(μενος)
b_7032836325,1.Zavorda,zavorda_8110_74v,58,μέμην(εν)
b_7032836325,1.Zavorda,zavorda_8107_72v,69,προβά(των) ἀγέλ(ας)
b_7032836325,1.Zavorda,zavorda_8107_72v,33,βρ<α>δί<α>
b_7032836325,1.Zavorda,zavorda_8101_67r,98,γυμνάζει
b_7032836325,1.Zavorda,zavorda_8094_60v,48,ὁ τοὺς ἄνδρ(ας) πνίγ(ων)
b_7032836325,1.Zavorda,zavorda_8091_58r,81,πολύ
b_7032836325,1.Zavorda,zavorda_8103_68v,49,κὴρ ἀλεείν(ων) · ἀνεχώρει · ἐν (τῶι) θανάτω)
b_7032836325,1.Zavorda,zavorda_8101_66v,140,ἐξετάνθη
b_7032836325,1.Zavorda,zavorda_8110_74v,32,ἐκτεταμένοι πάνυ
b_7032836325,1.Zavorda,zavorda_8101_66v,115,πάλ(ιν) ἐμελέτα (καὶ) ἐμάνθανε λόγια
b_7032836325,1.Zavorda,zavorda_8092_59r,108,λαμβάνοιτο
b_7032836325,1.Zavorda,zavorda_8107_73r,10,ἡμιόν(ος) · πωλάρι(ον)
b_7032836325,1.Zavorda,zavorda_8098_65r,9,"διεκόπη ·
κατεκόπη"
b_7032836325,1.Zavorda,zavorda_8097_64r,136,ἐξοχαὶ · ὄρη λαγγάδια
b_7032836325,1.Zavorda,zavorda_8106_71v,24,γάμ(ων)
b_7032836325,1.Zavorda,zavorda_8094_61r,12,ἀντιλο<γία>
b_7032836325,1.Zavorda,zavorda_8099_66r,136,ὡς κύκλ(ου) εἶδ(ος)
b_7032836325,1.Zavorda,zavorda_8104_69v,44,καθίζει
b_7032836325,1.Zavorda,zavorda_8097_63v,70,βλῆμαι · ἢ χρήζομ<αι>
b_7032836325,1.Zavorda,zavorda_8104_69v,122,ἡ δύν<α>μ(ις)
b_7032836325,1.Zavorda,zavorda_8094_61r,15,ἀνήλικ(ος)
b_7032836325,1.Zavorda,zavorda_8107_72v,11,βοσκ<οί> θηριώδ(εις)
b_7032836325,1.Zavorda,zavorda_8104_70r,109,μεγαλοδόν<τ(ης)>
b_7032836325,1.Zavorda,zavorda_8108_73v,90,(παρα)κάθισ(ις)
b_7032836325,1.Zavorda,zavorda_8094_61r,67,ἄνεσος
b_7032836325,1.Zavorda,zavorda_8104_69v,113,οἱ πτ(ω)χοί
b_7032836325,1.Zavorda,zavorda_8097_63v,80,ὁ πολυφάγος
b_7032836325,1.Zavorda,zavorda_8091_57v,32,ἀγρίοις
b_7032836325,1.Zavorda,zavorda_8101_67r,72,τὸ πρέπ(ον)
b_7032836325,1.Zavorda,zavorda_8105_70v,18,κατεπρ<ά>ϋν(αν)
b_7032836325,1.Zavorda,zavorda_8103_68v,95,ἤυξαν(εν)
b_7032836325,1.Zavorda,zavorda_8096_62v,87,ἀσύμφορ(ος)
b_7032836325,1.Zavorda,zavorda_8092_59r,92,δεινοπαθῆσ<αι>
b_7032836325,1.Zavorda,zavorda_8095_61v,24,ἀπενέγκοι
b_7032836325,1.Zavorda,zavorda_8107_73r,92,ὁ ἀδόκιμ(ος) καθόλ(ου)
b_7032836325,1.Zavorda,zavorda_8110_75r,109,ἐκτεῖ(ναι)
b_7032836325,1.Zavorda,zavorda_8102_67v,69,ἀκολουθεῖ
b_7032836325,1.Zavorda,zavorda_8094_61r,62,ὁ ἀντιλαμβανό(μενος)
b_7032836325,1.Zavorda,zavorda_8094_61r,48,(παρα)κέλευ[[΄]]εν
b_7032836325,1.Zavorda,zavorda_8106_71v,188,πεπείρα(μαι)
b_7032836325,1.Zavorda,zavorda_8103_69r,129,τ(ὴν) ψυχ(ὴν) λυπου(μένων)
b_7032836325,1.Zavorda,zavorda_8103_68v,136,πορθηκό(των)
b_7032836325,1.Zavorda,zavorda_8101_67r,37,ἀποματτό(μενον)
b_7032836325,1.Zavorda,zavorda_8097_63v,149,εἰς ἡδον(ὰς) προτρέπον(τες)
b_7032836325,1.Zavorda,zavorda_8099_65v,122,συνεχώρει
b_7032836325,1.Zavorda,zavorda_8108_73v,116,πρ(ὸς) τὸ τέλ(ος)
b_7032836325,1.Zavorda,zavorda_8107_73r,134,(μετα)φέροντ(ες)
b_7032836325,1.Zavorda,zavorda_8091_58r,35,ἀειστρόφοις
b_7032836325,1.Zavorda,zavorda_8106_72r,53,ἑορτή
b_7032836325,1.Zavorda,zavorda_8104_70r,67,(κατα)ράκτ(ης)
b_7032836325,1.Zavorda,zavorda_8099_66r,123,ἔλαβ(εν)
b_7032836325,1.Zavorda,zavorda_8096_62v,26,(ὄνομα) (κύριον)
b_7032836325,1.Zavorda,zavorda_8108_74r,85,δυν<ά>μει
b_7032836325,1.Zavorda,zavorda_8110_74v,56,διακόψ(ας)
b_7032836325,1.Zavorda,zavorda_8106_71v,177,μεταλλάσσ(ων)
b_7032836325,1.Zavorda,zavorda_8099_66r,97,τρακτάρ(ας)
b_7032836325,1.Zavorda,zavorda_8096_62v,77,σκληρ(ός)
b_7032836325,1.Zavorda,zavorda_8094_60v,26,ἀφῶ
b_7032836325,1.Zavorda,zavorda_8098_64v,143,ὁ ἐπίσημ(ος)
b_7032836325,1.Zavorda,zavorda_8110_75r,114,δειν(ῶς) (περι)βλεψά(μενος)
b_7032836325,1.Zavorda,zavorda_8095_62r,43,μὴ ὁρώ(μενον) πόρρωθ(εν)
b_7032836325,1.Zavorda,zavorda_8092_59r,25,ἅλα
b_7032836325,1.Zavorda,zavorda_8090_57r,49,ὁ ἀνόητ(ος)
b_7032836325,1.Zavorda,zavorda_8110_74v,145,δολί(ως)
b_7032836325,1.Zavorda,zavorda_8104_69v,57,ἐπευθεί(ας)
b_7032836325,1.Zavorda,zavorda_8095_61v,64,ἀπρεπ(ές)
b_7032836325,1.Zavorda,zavorda_8108_73v,124,ἐκλεκτ(όν)
b_7032836325,1.Zavorda,zavorda_8101_67r,69,ἐφήρμωσ(εν)
b_7032836325,1.Zavorda,zavorda_8104_69v,72,δρόσ(ος) · ὑγρασί<α> · ἄρδευσ(ις)
b_7032836325,1.Zavorda,zavorda_8102_68r,1,δροσώδη
b_7032836325,1.Zavorda,zavorda_8102_67v,12,"σκοτοῖ
ταράττει"
b_7032836325,1.Zavorda,zavorda_8105_71r,160,ἔλαλ(ον)
b_7032836325,1.Zavorda,zavorda_8098_65r,46,"ἀφ(ει)<ϋ>λίζεται
σακελίζεται"
b_7032836325,1.Zavorda,zavorda_8093_60r,48,ἀμφοτέρ(ων)
b_7032836325,1.Zavorda,zavorda_8104_70r,134,(κατὰ) τρό<π(ον)>
b_7032836325,1.Zavorda,zavorda_8110_75r,35,ὑποκεί(μενον) · ὑπόβασ(ιν)
b_7032836325,1.Zavorda,zavorda_8107_73r,136,τὰ τ(οῦ) π(ατ)ρ(ό)ς
b_7032836325,1.Zavorda,zavorda_8110_74v,137,θηρί(ον) πολυκέφαλ(ον)
b_7032836325,1.Zavorda,zavorda_8099_65v,30,ἀγαθ(ῶν)
b_7032836325,1.Zavorda,zavorda_8091_57v,29,ἡ <ʽ΄> λαμπροί
