BookID,BookName,PageName,IDAnnot,LemmaTranscription
b_2802960295,2.XER093,Xer_026_432v,22,ἐνδελεχῶς
b_2802960295,2.XER093,Xer_044_468v,26,κοινεῖον
b_2802960295,2.XER093,Xer_068_517r,4,σειρομάστην
b_2802960295,2.XER093,Xer_079_538v,21,ὕφαιμον
b_2802960295,2.XER093,Xer_073_527r,19,τέθηπ(εν)
b_2802960295,2.XER093,Xer_036_453r,5,θέλξης
b_2802960295,2.XER093,Xer_038_456v,11,ἱάχιν
b_2802960295,2.XER093,Xer_035_450v,5,ἥμυσεν
b_2802960295,2.XER093,Xer_002_385r,12,ἅδης
b_2802960295,2.XER093,Xer_048_477r,14,μᾶ
b_2802960295,2.XER093,Xer_028_436v,17,ἐπαγοντα
b_2802960295,2.XER093,Xer_053_487r,18,νοεῖν
b_2802960295,2.XER093,Xer_080_540v,19,φατὲ
b_2802960295,2.XER093,Xer_059_499r,25,παρεισφθαρὲν
b_2802960295,2.XER093,Xer_062_505r,14,πιαίνοντες
b_2802960295,2.XER093,Xer_066_513r,4,ῥάβδος
b_2802960295,2.XER093,Xer_025_430v,6,ἔλειτο
b_2802960295,2.XER093,Xer_033_446v,21,ἐχθιστον
b_2802960295,2.XER093,Xer_023_426v,12,εἰδρὰ
b_2802960295,2.XER093,Xer_035_450v,21,ἥξειν
b_2802960295,2.XER093,Xer_013_407r,23,ἀυχμην(ὸν)
b_2802960295,2.XER093,Xer_028_436v,11,ἐπαρῶνται
b_2802960295,2.XER093,Xer_049_478v,14,μέθεκτον
b_2802960295,2.XER093,Xer_075_531r,15,ταίν(ων) χεροῖν
b_2802960295,2.XER093,Xer_017_415r,3,γνάθων
b_2802960295,2.XER093,Xer_021_422v,14,δονούμενην
b_2802960295,2.XER093,Xer_012_404v,9,ἄρκεσι
b_2802960295,2.XER093,Xer_016_412v,8,βροτησία
b_2802960295,2.XER093,Xer_066_513r,8,ῥάδαμνος
b_2802960295,2.XER093,Xer_082_544v,3,χαυνοιῶμ(εν)
b_2802960295,2.XER093,Xer_019_419r,17,διαπρύσιον
b_2802960295,2.XER093,Xer_037_455r,25,θύτης
b_2802960295,2.XER093,Xer_033_446v,27,ἐώρισις
b_2802960295,2.XER093,Xer_075_531r,21,τρισβδένυκτα
b_2802960295,2.XER093,Xer_075_531r,11,τοίνυν
b_2802960295,2.XER093,Xer_059_499r,13,πανόλβιον
b_2802960295,2.XER093,Xer_054_488v,4,ξανθείζεσθ(αι)
b_2802960295,2.XER093,Xer_033_447r,24,ἥβοντας
b_2802960295,2.XER093,Xer_066_512v,15,πύνακα
b_2802960295,2.XER093,Xer_061_502v,22,πέτηρον
b_2802960295,2.XER093,Xer_010_400v,3,ἀπεδήμησε
b_2802960295,2.XER093,Xer_058_497r,1,οὐ λογϊσθήσεται
b_2802960295,2.XER093,Xer_041_463r,20,κατεύνασας
b_2802960295,2.XER093,Xer_065_511r,9,προσκομισθέον
b_2802960295,2.XER093,Xer_018_417r,21,δεσπότης
b_2802960295,2.XER093,Xer_012_404v,23,ἄρουρα
b_2802960295,2.XER093,Xer_046_473r,22,λιὴζεται
b_2802960295,2.XER093,Xer_083_546v,30,ὧμ(εν)
b_2802960295,2.XER093,Xer_035_450v,9,ἡνιχούμ(ενον)
b_2802960295,2.XER093,Xer_035_450v,12,ἡνίοχος
b_2802960295,2.XER093,Xer_077_534v,20,ὕθλους
b_2802960295,2.XER093,Xer_069_518v,6,σιμότης
b_2802960295,2.XER093,Xer_053_486v,4,νηκτῶ
b_2802960295,2.XER093,Xer_038_456v,6,ἰἄλω
b_2802960295,2.XER093,Xer_021_423r,17,δριμὴν
b_2802960295,2.XER093,Xer_026_432v,14,ἐνιξανει
b_2802960295,2.XER093,Xer_041_462v,22,κατελεβόμ(ενος)
b_2802960295,2.XER093,Xer_070_520v,22,στήφος
b_2802960295,2.XER093,Xer_048_476v,22,μάκαρ
b_2802960295,2.XER093,Xer_026_433r,14,ἐντιθῆς
b_2802960295,2.XER093,Xer_034_448v,26,ἥθοι
b_2802960295,2.XER093,Xer_005_391r,1,ἄλλης
b_2802960295,2.XER093,Xer_014_408v,10,ἀφ’ ἕξομια
b_2802960295,2.XER093,Xer_060_500v,28,παρεκτικὸν
b_2802960295,2.XER093,Xer_071_522v,14,σύντερος
b_2802960295,2.XER093,Xer_063_506v,12,πολλοστὸς
b_2802960295,2.XER093,Xer_078_537r,6,ὑπόβασιν
b_2802960295,2.XER093,Xer_014_409r,21,ἄχων
b_2802960295,2.XER093,Xer_039_458v,23,ἰσθμὸς
b_2802960295,2.XER093,Xer_053_487r,5,νομεὺς
b_2802960295,2.XER093,Xer_060_501r,12,παρὴν
b_2802960295,2.XER093,Xer_009_399r,14,ἀντωσάμενος
b_2802960295,2.XER093,Xer_039_458v,20,ἵρις
b_2802960295,2.XER093,Xer_047_474v,3,λῆρος
b_2802960295,2.XER093,Xer_019_418v,4,διεξάγητ(αι)
b_2802960295,2.XER093,Xer_061_503r,10,περιπαρῶσι
b_2802960295,2.XER093,Xer_052_484v,2,ναῦθα
b_2802960295,2.XER093,Xer_030_440v,24,ἐρύθημα
