BookID,BookName,PageName,IDAnnot,LemmaTranscription
b_5553899179,3.EBE1082,EBE1082_058_38v,3,βωνίτης
b_5553899179,3.EBE1082,EBE1082_059_40r,26,γήλοφον
b_5553899179,3.EBE1082,EBE1082_052_33r,22,βακχευθεῖσα
b_5553899179,3.EBE1082,EBE1082_052_33r,12,βάδδομαι
b_5553899179,3.EBE1082,EBE1082_065_45v,10,δήμιος
b_5553899179,3.EBE1082,EBE1082_070_50v,12,δράγματα
b_5553899179,3.EBE1082,EBE1082_067_48r,28,διεὐκρινήσαμ(εν)
b_5553899179,3.EBE1082,EBE1082_058_39r,13,γάννυμαι
b_5553899179,3.EBE1082,EBE1082_057_38r,14,βυρσοδέψης
b_5553899179,3.EBE1082,EBE1082_066_47r,22,διαρτίσαι
b_5553899179,3.EBE1082,EBE1082_054_34v,14,βδελύττεσθαι
b_5553899179,3.EBE1082,EBE1082_055_36r,3,βλάστημα
b_5553899179,3.EBE1082,EBE1082_064_45r,9,δεινοπαθεῖ
b_5553899179,3.EBE1082,EBE1082_059_40r,25,γηπόνος
b_5553899179,3.EBE1082,EBE1082_064_45r,18,δείνας
b_5553899179,3.EBE1082,EBE1082_064_45r,6,δεννάζων
b_5553899179,3.EBE1082,EBE1082_067_47v,23,διαφυγῶν
b_5553899179,3.EBE1082,EBE1082_051_31v,24,ἀφύγγετον
b_5553899179,3.EBE1082,EBE1082_055_36r,27,βοοπόρους
b_5553899179,3.EBE1082,EBE1082_055_35v,18,βίρρον
b_5553899179,3.EBE1082,EBE1082_068_48v,15,διἰκνούμ(εν)ο(ς)
b_5553899179,3.EBE1082,EBE1082_050_30v,6,αὐτοφόρβος
b_5553899179,3.EBE1082,EBE1082_050_30v,1,αὐτουργός
b_5553899179,3.EBE1082,EBE1082_057_37v,4,βρεμέτω
b_5553899179,3.EBE1082,EBE1082_049_30r,27,αυτόπται
b_5553899179,3.EBE1082,EBE1082_050_31r,18,ἀφελχθείη
b_5553899179,3.EBE1082,EBE1082_053_34r,17,βασιλίς
b_5553899179,3.EBE1082,EBE1082_063_43v,21,δαιτρευτῶς
b_5553899179,3.EBE1082,EBE1082_050_31r,22,ἀφείλαντο
b_5553899179,3.EBE1082,EBE1082_057_37v,26,βρότον
b_5553899179,3.EBE1082,EBE1082_052_33r,9,βαδδίν
b_5553899179,3.EBE1082,EBE1082_051_32r,14,ἄχθομαι
b_5553899179,3.EBE1082,EBE1082_054_35r,12,βεμβικίζεται
b_5553899179,3.EBE1082,EBE1082_058_38v,1,βωτιάνειρα
b_5553899179,3.EBE1082,EBE1082_063_43v,20,δαισάνη
b_5553899179,3.EBE1082,EBE1082_064_45r,11,δερμύλλειν
b_5553899179,3.EBE1082,EBE1082_057_38r,7,βρύχεται
b_5553899179,3.EBE1082,EBE1082_062_43r,17,δαήρ
b_5553899179,3.EBE1082,EBE1082_058_38v,2,βώνοσοι
b_5553899179,3.EBE1082,EBE1082_050_30v,23,αὐχμηρός
b_5553899179,3.EBE1082,EBE1082_051_31v,9,ἀφιλοικτίρμω(ν)
b_5553899179,3.EBE1082,EBE1082_059_40r,18,γεννήτωρ
b_5553899179,3.EBE1082,EBE1082_058_39r,19,γάστρις
b_5553899179,3.EBE1082,EBE1082_060_41r,2,γλαύξ
b_5553899179,3.EBE1082,EBE1082_068_48v,16,διΐξομαι
b_5553899179,3.EBE1082,EBE1082_060_41r,5,γλαγός
b_5553899179,3.EBE1082,EBE1082_053_33v,9,βαλάντιον
b_5553899179,3.EBE1082,EBE1082_060_40v,12,γίγαρτον
b_5553899179,3.EBE1082,EBE1082_069_49v,23,δοκιμάζεις
b_5553899179,3.EBE1082,EBE1082_054_34v,24,βεβόηκ(εν)
b_5553899179,3.EBE1082,EBE1082_066_47r,9,διαπληκτίζονται
b_5553899179,3.EBE1082,EBE1082_063_43v,23,δαιμόνιε
b_5553899179,3.EBE1082,EBE1082_061_42r,1,γνόφος
b_5553899179,3.EBE1082,EBE1082_049_30r,8,αὐλίζεται
b_5553899179,3.EBE1082,EBE1082_061_41v,12,γόος
b_5553899179,3.EBE1082,EBE1082_066_46v,1,δίδραχμον
b_5553899179,3.EBE1082,EBE1082_070_50v,27,δρεφθῆναι
b_5553899179,3.EBE1082,EBE1082_057_38r,4,βρύον
b_5553899179,3.EBE1082,EBE1082_057_38r,6,βρύλλια
b_5553899179,3.EBE1082,EBE1082_051_32r,23,ἀχρεῖος
b_5553899179,3.EBE1082,EBE1082_070_50v,11,δοχή
b_5553899179,3.EBE1082,EBE1082_065_46r,18,δια βραχέος
b_5553899179,3.EBE1082,EBE1082_065_46r,16,διαβεβαιοῦται
b_5553899179,3.EBE1082,EBE1082_063_44r,5,δερεστήρ
b_5553899179,3.EBE1082,EBE1082_054_34v,21,βεβηκώς
b_5553899179,3.EBE1082,EBE1082_049_30r,9,αὐλιξ
b_5553899179,3.EBE1082,EBE1082_069_50r,6,δολερῶς
b_5553899179,3.EBE1082,EBE1082_056_36v,16,βοανεργές
b_5553899179,3.EBE1082,EBE1082_068_49r,26,διψᾶται<ε>
b_5553899179,3.EBE1082,EBE1082_064_44v,20,δέρκειν
b_5553899179,3.EBE1082,EBE1082_052_33r,1,βαβύς
b_5553899179,3.EBE1082,EBE1082_056_37r,24,βράχη
b_5553899179,3.EBE1082,EBE1082_065_46r,3,δηριγευόμ(εν)ο(ς)
b_5553899179,3.EBE1082,EBE1082_052_33r,8,βαγεύει
b_5553899179,3.EBE1082,EBE1082_059_39v,27,γέννησις
b_5553899179,3.EBE1082,EBE1082_061_41v,2,γνώμη
b_5553899179,3.EBE1082,EBE1082_054_35r,25,βῆμα
b_5553899179,3.EBE1082,EBE1082_051_31v,8,ἀφίδρυσμα
b_5553899179,3.EBE1082,EBE1082_057_38r,5,βρύτια
b_5553899179,3.EBE1082,EBE1082_066_46v,13,διακενῆς
b_5553899179,3.EBE1082,EBE1082_069_49v,22,δοκεῖ
b_5553899179,3.EBE1082,EBE1082_065_46r,2,δημοσιεύωμαι
b_5553899179,3.EBE1082,EBE1082_056_36v,11,βωμολόχος
b_5553899179,3.EBE1082,EBE1082_065_46r,14,διαβαίνει
b_5553899179,3.EBE1082,EBE1082_055_36r,4,βλαρόν
b_5553899179,3.EBE1082,EBE1082_059_40r,22,γεώδης
b_5553899179,3.EBE1082,EBE1082_066_47r,18,διαπήγϊον
b_5553899179,3.EBE1082,EBE1082_056_36v,24,βούλιμος
b_5553899179,3.EBE1082,EBE1082_066_46v,23,διάλημμα
b_5553899179,3.EBE1082,EBE1082_053_33v,19,βάξις
b_5553899179,3.EBE1082,EBE1082_053_33v,4,βαλανεύς
b_5553899179,3.EBE1082,EBE1082_066_46v,21,διακυκώσι
b_5553899179,3.EBE1082,EBE1082_060_40v,7,γήδιον
b_5553899179,3.EBE1082,EBE1082_051_32r,11,ἀχέων
b_5553899179,3.EBE1082,EBE1082_056_37r,5,βούλημα
b_5553899179,3.EBE1082,EBE1082_070_50v,30,δρίξ
b_5553899179,3.EBE1082,EBE1082_052_32v,11,ἀψοφητί
b_5553899179,3.EBE1082,EBE1082_057_37v,17,βρόχος
b_5553899179,3.EBE1082,EBE1082_066_47r,15,διαπρέψας
b_5553899179,3.EBE1082,EBE1082_066_46v,19,διακραδαίνει
b_5553899179,3.EBE1082,EBE1082_064_44v,16,δέδυκεν
b_5553899179,3.EBE1082,EBE1082_055_35v,27,βλοσυρωπὸς
b_5553899179,3.EBE1082,EBE1082_059_39v,7,γερήνιος
b_5553899179,3.EBE1082,EBE1082_064_44v,17,δείσας
b_5553899179,3.EBE1082,EBE1082_070_50v,19,δρὰξ
b_5553899179,3.EBE1082,EBE1082_068_48v,13,διΐσταται
b_5553899179,3.EBE1082,EBE1082_056_36v,1,βόμβος
b_5553899179,3.EBE1082,EBE1082_050_31r,13,ἀφαιρεῖται
b_5553899179,3.EBE1082,EBE1082_053_33v,11,βάλλεν
b_5553899179,3.EBE1082,EBE1082_051_32r,13,ἀχθηδών
b_5553899179,3.EBE1082,EBE1082_059_39v,21,γεράνδρυον
b_5553899179,3.EBE1082,EBE1082_062_42v,23,γύψ
b_5553899179,3.EBE1082,EBE1082_062_42v,16,γυναικίας
b_5553899179,3.EBE1082,EBE1082_065_46r,12,δηνάριον
b_5553899179,3.EBE1082,EBE1082_058_38v,6,γάγγραινα
b_5553899179,3.EBE1082,EBE1082_062_43r,4,γενάρχου
b_5553899179,3.EBE1082,EBE1082_057_38r,15,βύρσα
b_5553899179,3.EBE1082,EBE1082_067_47v,5,διαστέλλων
b_5553899179,3.EBE1082,EBE1082_052_32v,5,αψεύδεια
b_5553899179,3.EBE1082,EBE1082_055_36r,23,βλῶσις
b_5553899179,3.EBE1082,EBE1082_065_46r,25,διαδιδράσκεται
b_5553899179,3.EBE1082,EBE1082_064_44v,23,δέδαται
b_5553899179,3.EBE1082,EBE1082_068_48v,28,δίνη
b_5553899179,3.EBE1082,EBE1082_055_36r,26,βοηθός
b_5553899179,3.EBE1082,EBE1082_064_44v,9,δειπνολόχον
b_5553899179,3.EBE1082,EBE1082_054_34v,13,βδελυγμία
b_5553899179,3.EBE1082,EBE1082_065_45v,4,δῆλοι
b_5553899179,3.EBE1082,EBE1082_054_34v,3,βαταλίζεσθαι
b_5553899179,3.EBE1082,EBE1082_063_43v,11,δαΐξας
b_5553899179,3.EBE1082,EBE1082_066_46v,17,διάκρισιν
b_5553899179,3.EBE1082,EBE1082_049_30r,26,αὐτοῖσιν
b_5553899179,3.EBE1082,EBE1082_065_45v,6,δημοφελής
b_5553899179,3.EBE1082,EBE1082_067_48r,18,διέξοδος
b_5553899179,3.EBE1082,EBE1082_053_33v,15,βαμβλίζειν
b_5553899179,3.EBE1082,EBE1082_055_36r,1,βλάβως
b_5553899179,3.EBE1082,EBE1082_060_40v,15,γίνωσκε
b_5553899179,3.EBE1082,EBE1082_050_30v,21,αὐχοῦντ(ες)
b_5553899179,3.EBE1082,EBE1082_063_44r,8,δεκτῆρες
b_5553899179,3.EBE1082,EBE1082_062_43r,22,δαναοί
b_5553899179,3.EBE1082,EBE1082_061_42r,18,γρυμαία
b_5553899179,3.EBE1082,EBE1082_061_41v,16,γομφιασμό(ς)
b_5553899179,3.EBE1082,EBE1082_067_48r,19,διἐξοδικῶς
b_5553899179,3.EBE1082,EBE1082_054_34v,6,βαύνος
b_5553899179,3.EBE1082,EBE1082_049_30r,16,αὐός
b_5553899179,3.EBE1082,EBE1082_057_37v,10,βριαρόχειρ
b_5553899179,3.EBE1082,EBE1082_060_40v,1,γῆν ἰλλομ(έν)ην
b_5553899179,3.EBE1082,EBE1082_054_35r,8,βέλεμνα
b_5553899179,3.EBE1082,EBE1082_050_31r,3,ἀφάρτεροι
b_5553899179,3.EBE1082,EBE1082_062_42v,22,γυμναζόμ(εν)ο(ς)
b_5553899179,3.EBE1082,EBE1082_061_42r,24,γρύ
