BookID,BookName,PageName,IDAnnot,LemmaTranscription
b_7032836325,1.Zavorda,zavorda_8106_72r,20,μασὼβ
b_7032836325,1.Zavorda,zavorda_8095_62r,97,ἀρηϊφάτ(ων)
b_7032836325,1.Zavorda,zavorda_8099_65v,6,δύσπαρ(ις)
b_7032836325,1.Zavorda,zavorda_8105_71r,120,κῦδ(ος)
b_7032836325,1.Zavorda,zavorda_8098_64v,30,δειματ(ῶν)
b_7032836325,1.Zavorda,zavorda_8097_64r,103,δάδα
b_7032836325,1.Zavorda,zavorda_8090_57r,23,ἀβραμαίν(ων)
b_7032836325,1.Zavorda,zavorda_8108_73v,50,πῆμα
b_7032836325,1.Zavorda,zavorda_8091_58r,16,ἄειδε
b_7032836325,1.Zavorda,zavorda_8091_57v,108,ἀδόνητ(ον)
b_7032836325,1.Zavorda,zavorda_8096_63r,17,αὐχήματ<α>
b_7032836325,1.Zavorda,zavorda_8106_72r,134,νεηκέσι
b_7032836325,1.Zavorda,zavorda_8096_62v,81,ἄσκι(ος) ὕλη
b_7032836325,1.Zavorda,zavorda_8108_74r,61,σαβὲκ
b_7032836325,1.Zavorda,zavorda_8102_68r,33,ἐσπαραγ(μένα)
b_7032836325,1.Zavorda,zavorda_8110_74v,41,τέγος
b_7032836325,1.Zavorda,zavorda_8096_62v,1,
b_7032836325,1.Zavorda,zavorda_8094_61r,118,ἀξιῶ
b_7032836325,1.Zavorda,zavorda_8099_65v,163,ἐιλιχ(ὼς)
b_7032836325,1.Zavorda,zavorda_8093_60r,107,ἄναλκ(ος)
b_7032836325,1.Zavorda,zavorda_8104_69v,68,ἱκέσθη
b_7032836325,1.Zavorda,zavorda_8093_60r,66,ἀμβολάδ(ην)
b_7032836325,1.Zavorda,zavorda_8096_62v,79,ἀσπασίωσι
b_7032836325,1.Zavorda,zavorda_8090_57r,12,ἀάτ(ας)
b_7032836325,1.Zavorda,zavorda_8098_65r,28,διαλάμβανε
