BookID,BookName,PageName,IDAnnot,DefinitionTranscription
b_7032836325,1.Zavorda,zavorda_8096_63r,29,ξηραινό(μενος)
b_7032836325,1.Zavorda,zavorda_8110_74v,58,μέμην(εν)
b_7032836325,1.Zavorda,zavorda_8107_72v,69,προβά(των) ἀγέλ(ας)
b_7032836325,1.Zavorda,zavorda_8107_72v,33,βρ<α>δί<α>
b_7032836325,1.Zavorda,zavorda_8101_67r,98,γυμνάζει
b_7032836325,1.Zavorda,zavorda_8094_60v,48,ὁ τοὺς ἄνδρ(ας) πνίγ(ων)
b_2802960295,2.XER093,Xer_011_403r,10,ἀνατροπῆς · τῆς καταφάσε(ος) · οἷον οὐ κατέρχετ(αι) ὁ ποταμὸς οὐ κατέρχετ(αι) ὁδ(ὸν) ἀπρόσφορ(ον)
b_7032836325,1.Zavorda,zavorda_8091_58r,81,πολύ
b_7032836325,1.Zavorda,zavorda_8103_68v,49,κὴρ ἀλεείν(ων) · ἀνεχώρει · ἐν (τῶι) θανάτω)
b_2802960295,2.XER093,Xer_066_512v,12,λέγομ(εν) · τὸ κατώτατον αὐτῶν
b_2802960295,2.XER093,Xer_012_405r,18,ἀχρίστους κ(αὶ) ἀσυμφόρους
b_7032836325,1.Zavorda,zavorda_8101_66v,140,ἐξετάνθη
b_7032836325,1.Zavorda,zavorda_8110_74v,32,ἐκτεταμένοι πάνυ
b_7032836325,1.Zavorda,zavorda_8101_66v,115,πάλ(ιν) ἐμελέτα (καὶ) ἐμάνθανε λόγια
b_7032836325,1.Zavorda,zavorda_8092_59r,108,λαμβάνοιτο
b_7032836325,1.Zavorda,zavorda_8107_73r,10,ἡμιόν(ος) · πωλάρι(ον)
b_2802960295,2.XER093,Xer_037_454v,28,ἀλαζῶν
b_7032836325,1.Zavorda,zavorda_8098_65r,9,"διεκόπη ·
κατεκόπη"
b_5553899179,3.EBE1082,EBE1082_066_47r,16,θερμὴ ζεούση
b_5553899179,3.EBE1082,EBE1082_070_50v,31,ὁξύς
b_7032836325,1.Zavorda,zavorda_8097_64r,136,ἐξοχαὶ · ὄρη λαγγάδια
b_2802960295,2.XER093,Xer_083_546v,7,
b_7032836325,1.Zavorda,zavorda_8106_71v,24,γάμ(ων)
b_7032836325,1.Zavorda,zavorda_8094_61r,12,ἀντιλο<γία>
b_2802960295,2.XER093,Xer_039_459r,17,χρυσοκλαβάρην
b_7032836325,1.Zavorda,zavorda_8099_66r,136,ὡς κύκλ(ου) εἶδ(ος)
b_7032836325,1.Zavorda,zavorda_8104_69v,44,καθίζει
b_2802960295,2.XER093,Xer_080_541r,2,λέγων
b_2802960295,2.XER093,Xer_046_472v,16,δουλεία
b_7032836325,1.Zavorda,zavorda_8097_63v,70,βλῆμαι · ἢ χρήζομ<αι>
b_7032836325,1.Zavorda,zavorda_8104_69v,122,ἡ δύν<α>μ(ις)
b_5553899179,3.EBE1082,EBE1082_061_42r,1,συνεφία δεινὸς ἄνεμος
b_2802960295,2.XER093,Xer_054_489r,21,ὄζωσεν
b_2802960295,2.XER093,Xer_063_507r,19,πῦρ ἀπ’ οὐ(ρα)νοῦ
b_2802960295,2.XER093,Xer_007_394v,12,"ἀκιβδηλον κ(αὶ)
θεραπευτικὸν"
b_7032836325,1.Zavorda,zavorda_8094_61r,15,ἀνήλικ(ος)
b_2802960295,2.XER093,Xer_039_458v,15,ἀναβάτου
b_2802960295,2.XER093,Xer_050_481r,10,μετάθεσις
b_2802960295,2.XER093,Xer_056_493r,4,φονεὺ · ἀφανιστής
b_2802960295,2.XER093,Xer_067_514v,9,φθαρτὰ · κ(αὶ) ῥέοντα
b_2802960295,2.XER093,Xer_005_391r,15,ἁμαρτάνω
b_7032836325,1.Zavorda,zavorda_8107_72v,11,βοσκ<οί> θηριώδ(εις)
b_2802960295,2.XER093,Xer_068_517r,9,"φωτοφόρος · ἢγουν
ὁ τὸ φῶς φέρων κ(αὶ) κομίζων"
b_2802960295,2.XER093,Xer_008_396v,23,ἀφιέναι
b_2802960295,2.XER093,Xer_007_394v,15,ἀκαθάρτως
b_2802960295,2.XER093,Xer_002_385r,9,εἶδος σιδήρου
b_2802960295,2.XER093,Xer_022_425r,13,τρώγετ(αι)
b_2802960295,2.XER093,Xer_021_422v,23,οιήματα
b_7032836325,1.Zavorda,zavorda_8104_70r,109,μεγαλοδόν<τ(ης)>
b_2802960295,2.XER093,Xer_006_392v,20,ἁμαρτήματα
b_7032836325,1.Zavorda,zavorda_8108_73v,90,(παρα)κάθισ(ις)
b_2802960295,2.XER093,Xer_013_406v,11,ἀπλήρωτος
b_5553899179,3.EBE1082,EBE1082_054_34v,11,δευσοποιός
b_2802960295,2.XER093,Xer_032_444v,13,γυνῆ
b_7032836325,1.Zavorda,zavorda_8094_61r,67,ἄνεσος
b_7032836325,1.Zavorda,zavorda_8104_69v,113,οἱ πτ(ω)χοί
b_5553899179,3.EBE1082,EBE1082_063_44r,21,ὁ φόβος
b_5553899179,3.EBE1082,EBE1082_060_40v,9,μετα χαρᾶς
b_7032836325,1.Zavorda,zavorda_8097_63v,80,ὁ πολυφάγος
b_5553899179,3.EBE1082,EBE1082_059_39v,31,οἱ κεφαλαὶ τ(ῶν) σκορόδων
b_2802960295,2.XER093,Xer_063_507r,13,θάνατος
b_7032836325,1.Zavorda,zavorda_8091_57v,32,ἀγρίοις
b_7032836325,1.Zavorda,zavorda_8101_67r,72,τὸ πρέπ(ον)
b_7032836325,1.Zavorda,zavorda_8105_70v,18,κατεπρ<ά>ϋν(αν)
b_7032836325,1.Zavorda,zavorda_8103_68v,95,ἤυξαν(εν)
b_2802960295,2.XER093,Xer_073_527r,10,ἐξάπλωσιν
b_2802960295,2.XER093,Xer_041_462v,26,περίσφοιγξης · κ(αὶ) συνείλησις [[κ(αὶ)]] ἐν μνήματι κ(αὶ) συνδόνη
b_2802960295,2.XER093,Xer_070_521r,13,σημεῖον
b_2802960295,2.XER093,Xer_039_458v,1,φαντασία ὄναρ κ(αὶ) ὁμοίωμα
b_2802960295,2.XER093,Xer_072_524v,4,κονιορτός · μεταξύλων κ(αὶ) ἀχύρων μεμηγμένος
b_7032836325,1.Zavorda,zavorda_8096_62v,87,ἀσύμφορ(ος)
b_7032836325,1.Zavorda,zavorda_8092_59r,92,δεινοπαθῆσ<αι>
b_2802960295,2.XER093,Xer_014_408v,16,ἡ τῆς χειρὸς κράτησις
b_7032836325,1.Zavorda,zavorda_8095_61v,24,ἀπενέγκοι
b_7032836325,1.Zavorda,zavorda_8107_73r,92,ὁ ἀδόκιμ(ος) καθόλ(ου)
b_2802960295,2.XER093,Xer_010_401r,4,τὰ μὴ ἔχοντα τέλος
b_2802960295,2.XER093,Xer_006_392v,14,ἀντικαλλάξωμεν
b_7032836325,1.Zavorda,zavorda_8110_75r,109,ἐκτεῖ(ναι)
b_7032836325,1.Zavorda,zavorda_8102_67v,69,ἀκολουθεῖ
b_2802960295,2.XER093,Xer_022_425r,31,ἐποίησαν
b_2802960295,2.XER093,Xer_076_532v,24,κτένιον
b_7032836325,1.Zavorda,zavorda_8094_61r,62,ὁ ἀντιλαμβανό(μενος)
b_5553899179,3.EBE1082,EBE1082_053_34r,23,φθονερός
