BookID,BookName,PageName,IDAnnot,LemmaTranscription
b_2802960295,2.XER093,Xer_026_432v,22,ἐνδελεχῶς
b_7032836325,1.Zavorda,zavorda_8106_72r,20,μασὼβ
b_5553899179,3.EBE1082,EBE1082_058_38v,3,βωνίτης
b_7032836325,1.Zavorda,zavorda_8095_62r,97,ἀρηϊφάτ(ων)
b_7032836325,1.Zavorda,zavorda_8099_65v,6,δύσπαρ(ις)
b_7032836325,1.Zavorda,zavorda_8105_71r,120,κῦδ(ος)
b_5553899179,3.EBE1082,EBE1082_059_40r,26,γήλοφον
b_5553899179,3.EBE1082,EBE1082_052_33r,22,βακχευθεῖσα
b_2802960295,2.XER093,Xer_044_468v,26,κοινεῖον
b_2802960295,2.XER093,Xer_068_517r,4,σειρομάστην
b_5553899179,3.EBE1082,EBE1082_052_33r,12,βάδδομαι
b_7032836325,1.Zavorda,zavorda_8098_64v,30,δειματ(ῶν)
b_2802960295,2.XER093,Xer_079_538v,21,ὕφαιμον
b_7032836325,1.Zavorda,zavorda_8097_64r,103,δάδα
b_2802960295,2.XER093,Xer_073_527r,19,τέθηπ(εν)
b_5553899179,3.EBE1082,EBE1082_065_45v,10,δήμιος
b_7032836325,1.Zavorda,zavorda_8090_57r,23,ἀβραμαίν(ων)
b_2802960295,2.XER093,Xer_036_453r,5,θέλξης
b_7032836325,1.Zavorda,zavorda_8108_73v,50,πῆμα
b_7032836325,1.Zavorda,zavorda_8091_58r,16,ἄειδε
b_7032836325,1.Zavorda,zavorda_8091_57v,108,ἀδόνητ(ον)
b_2802960295,2.XER093,Xer_038_456v,11,ἱάχιν
b_2802960295,2.XER093,Xer_035_450v,5,ἥμυσεν
b_2802960295,2.XER093,Xer_002_385r,12,ἅδης
b_2802960295,2.XER093,Xer_048_477r,14,μᾶ
b_2802960295,2.XER093,Xer_028_436v,17,ἐπαγοντα
b_2802960295,2.XER093,Xer_053_487r,18,νοεῖν
b_5553899179,3.EBE1082,EBE1082_070_50v,12,δράγματα
b_2802960295,2.XER093,Xer_080_540v,19,φατὲ
b_7032836325,1.Zavorda,zavorda_8096_63r,17,αὐχήματ<α>
b_7032836325,1.Zavorda,zavorda_8106_72r,134,νεηκέσι
b_2802960295,2.XER093,Xer_059_499r,25,παρεισφθαρὲν
b_7032836325,1.Zavorda,zavorda_8096_62v,81,ἄσκι(ος) ὕλη
b_2802960295,2.XER093,Xer_062_505r,14,πιαίνοντες
